%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1452441756919142457,0.00922357897492,0.118144215642,0.0967551168789,0.0,0.0,0.0648257752756
1452441756922524796,0.00608761944641,0.11580594017,0.0967580807066,0.0,0.0,0.0652606518005
1452441756925984010,0.00304573870375,0.113537812963,0.0967611356029,0.0,0.0,0.0656824820297
1452441756929446043,9.51143833781e-05,0.111337729571,0.0967640855496,0.0,0.0,0.066091657352
1452441756932850082,-0.00276699120739,0.109203648682,0.0967669852298,0.0,0.0,0.0664885574146
1452441756936256143,-0.00554323363043,0.107133590219,0.0967701194166,0.0,0.0,0.0668735504753
1452441756939833178,-0.00823618878078,0.10512563351,0.0967729547389,0.0,0.0,0.0672469937443
1452441756943093522,0.0210631152819,0.142602348923,0.102584168087,0.0,0.0,0.0630674796063
1452441756945851031,0.0176688100996,0.139834613685,0.102586869955,0.0,0.0,0.0635124877144
1452441756949168286,0.0143763340728,0.137149910504,0.102589943187,0.0,0.0,0.0639441455792
1452441756952585818,0.0111826323268,0.134545748419,0.10259304718,0.0,0.0,0.0643628537081
1452441756956169686,0.00808474163319,0.132019711196,0.102596344658,0.0,0.0,0.0647690005931
1452441756959149771,0.00507978766038,0.129569455089,0.102599340318,0.0,0.0,0.0651629630716
1452441756963519949,0.00216498230675,0.127192706666,0.102602640694,0.0,0.0,0.0655451066757
1452441756966000932,-0.000662378886265,0.124887260696,0.102605688514,0.0,0.0,0.0659157859716
1452441756969302470,-0.00340491924349,0.122650978105,0.102608759963,0.0,0.0,0.0662753448887
1452441756972698818,0.0322488538334,0.166288647368,0.108557391178,0.0,0.0,0.0580705101767
1452441756975972585,0.0286249196144,0.163137432453,0.108560736863,0.0,0.0,0.058590812017
1452441756979254675,0.0251097034221,0.160080753986,0.108563956162,0.0,0.0,0.0590955048021
1452441756982690807,0.0216999437155,0.157115775873,0.108567259403,0.0,0.0,0.0595850568037
1452441756985856377,0.0183924768001,0.154239747103,0.108570492378,0.0,0.0,0.0600599222452
1452441756989260033,0.0151842338922,0.151449999197,0.10857380458,0.0,0.0,0.0605205417234
1452441756992619445,0.0120722382715,0.148743943727,0.108577079998,0.0,0.0,0.0609673426174
1452441756995845283,0.00905360251943,0.146119069922,0.108580412007,0.0,0.0,0.0614007394844
1452441756999202035,0.00612552583992,0.143572942331,0.108583708175,0.0,0.0,0.0618211344455
1452441757002578447,0.0032852914608,0.141103198567,0.108587059047,0.0,0.0,0.0622289175578
1452441757005943582,0.000530264113048,0.138707547117,0.108590304755,0.0,0.0,0.0626244671766
1452441757009311495,-0.00214211241427,0.13638376521,0.108593595263,0.0,0.0,0.063008150307
1452441757013000111,-0.00473431764576,0.13412969676,0.108596983627,0.0,0.0,0.0633803229434
1452441757016215314,-0.00724875672032,0.131943250364,0.108600288755,0.0,0.0,0.0637413304007
1452441757020258646,0.0217087939508,0.164870307541,0.115794579139,0.0,0.0,0.0609380700388
1452441757022764457,0.0185100844898,0.162063487145,0.115797087387,0.0,0.0,0.0613396450245
1452441757027511192,0.0154073363127,0.15934087136,0.115800768312,0.0,0.0,0.0617291727605
1452441757031316094,0.0123976705808,0.156699934049,0.115804409016,0.0,0.0,0.0621070146645
1452441757033135560,0.00947829482097,0.154138224857,0.115808013774,0.0,0.0,0.0624735213114
1452441757036582871,0.0491111798525,0.18223020802,0.12441296617,0.0,0.0,0.0627603431385
1452441757039275218,0.0452141146657,0.179131435466,0.12441608625,0.0,0.0,0.0631066226481
1452441757042601365,0.0414339614345,0.176125626088,0.12442000586,0.0,0.0,0.0634425137724
1452441757045837099,0.0377672128002,0.173209990992,0.124423639248,0.0,0.0,0.063768328163
1452441757049170804,0.0342104666249,0.170381824949,0.124427421957,0.0,0.0,0.0640843681219
1452441757052870781,0.030760422835,0.167638503887,0.124431611047,0.0,0.0,0.064390926882
1452441757055845768,0.0274138803587,0.164977482457,0.124435007628,0.0,0.0,0.0646882888792
1452441757059282820,0.0241677341567,0.16239629167,0.124438797087,0.0,0.0,0.0649767300166
1452441757062617976,0.0210189723407,0.159892536607,0.124442510672,0.0,0.0,0.0652565179199
1452441757065874234,0.0179646733793,0.157463894195,0.12444627529,0.0,0.0,0.065527912186
1452441757069225511,0.0150020033867,0.155108111056,0.124450005885,0.0,0.0,0.0657911646242
1452441757072610397,0.0121282134938,0.152823001411,0.124453919014,0.0,0.0,0.0660465194892
